"planet","name","gm","radius","density","magnitude","albedo","Distance_to_planet (10^6km)","Velocity (km/s)"
"Saturn","Surtur","0.000000",3,"2.3","24.8R","0.04",27.4,0
"Saturn","Jarnsaxa","0.000000",3,"2.3","24.7R","0.04",27.6,0
"Saturn","Greip","0.000000",3,"2.3","24.4R","0.04",27.8,0
"Saturn","Tarqeq","0.000000",3,"2.3","23.9R","0.04",28.1,0
"Saturn","S/2004 S7","0.000000",3,"2.3","24.5R","0.04",28.2,0
"Saturn","S/2004 S12","0.000000",2.5,"2.3","24.8R","0.04",28.3,0
"Saturn","S/2004 S13","0.000000",3,"2.3","24.5R","0.04",28.5,0
"Saturn","S/2004 S17","0.000000",2,"2.3","25.2R","0.04",28.7,0
"Saturn","S/2006 S1","0.000000",3,"2.3","24.6R","0.04",29,0
"Saturn","S/2006 S3","0.000000",2.5,"2.3","24.6R","0.04",29.2,0
"Saturn","S/2007 S2","0.000000",3,"2.3","24.4R","0.04",29.4,0
"Saturn","S/2007 S3","0.000000",2,"2.3","24.9R","0.04",29.6,0
"Uranus","Ariel","86.4±5.0",578.9,"1.592±0.092","13.70±0.04","0.39±0.04",0.191,0.0212686628856261
"Uranus","Umbriel","81.5±5.0",584.7,"1.459±0.092","14.47±0.04","0.21±0.02",0.271,0.0173417994273972
"Uranus","Titania","228.2±5.0",788.9,"1.662±0.038","13.49±0.04","0.27±0.03",0.436,0.0228778166662128
"Uranus","Oberon","192.4±7.0",761.4,"1.559±0.059","13.70±0.04","0.23±0.03",0.583,0.0181663742298419
"Uranus","Miranda","4.4±0.4",235.8,"1.214±0.109","15.79±0.04","0.32±0.03",0.129,0.00584025060522089
"Uranus","Cordelia","0.0030",20.1,"1.3","23.62±0.35","0.07",0.048,0.00025
"Uranus","Ophelia","0.0036",21.4,"1.3","23.26±0.25","0.07",0.057,0.000251312344975017
"Uranus","Bianca","0.0062",27,"1.3","22.52±0.24","0.065±0.010",0.061,0.000318809260000859
"Uranus","Cressida","0.0229",41,"1.3","21.58±0.11","0.069±0.007",0.06,0.000617791766428355
"Uranus","Desdemona","0.0119",35,"1.3","21.99±0.16","0.084±0.019",0.06,0.000445346307196246
"Uranus","Juliet","0.0372",53,"1.3","21.12±0.05","0.075±0.011",0.062,0.000774596669241483
"Uranus","Portia","0.1122",70,"1.3","20.42±0.05","0.069±0.008",0.07,0.00126603994520597
"Uranus","Rosalind","0.0170",36,"1.3","21.79±0.13","0.072±0.024",0.072,0.000485912657903775
"Uranus","Belinda","0.0238",45,"1.3","21.47±0.09","0.067±0.024",0.074,0.000567116938224932
"Uranus","Puck","0.1931",81,"1.3","19.75±0.05","0.104±0.006",0.057,0.00184057580616654
"Uranus","Caliban","0.020",36,"1.5","22.4R","0.04",0.118,0.000411693484796309
"Uranus","Sycorax","0.18",75,"1.5","20.8R","0.04",0.179,0.00100278940569731
"Uranus","Prospero","0.0066",25,"1.5","23.2R","0.04",0.225,0.000171269767715535
"Uranus","Setebos","0.0058",24,"1.5","23.3R","0.04",0.238,0.000156108128869574
