"planet","name","gm","radius","density","magnitude","albedo","Distance (10^6km)","Distance (m)","Velocity (m/s)","Velocity (km/s)"
"Saturn","Skathi","0.000021",4,"2.3","23.6R","0.06",23.5,2.35e+10,2.98934277271208e-08,2.98934277271208e-11
"Saturn","Erriapus","0.000051",5,"2.3","23.4R","0.06",24,2.4e+10,4.60977222864644e-08,4.60977222864644e-11
"Saturn","Siarnaq","0.0026",20,"2.3","19.9R","0.06",24.6,2.46e+10,3.25101610132231e-07,3.25101610132231e-10
"Saturn","Thrymr","0.000014",3.5,"2.3","23.9R","0.06",24.8,2.48e+10,2.37595481655746e-08,2.37595481655746e-11
"Saturn","Narvi","0.000023",3.5,"2.3","23.8R","0.04",24.9,2.49e+10,3.03923473775302e-08,3.03923473775302e-11
"Saturn","Aegir","0.000000",3,"2.3","24.4R","0.04",24.5,2.45e+10,0,0
"Saturn","Bebhionn","0.000000",3,"2.3","24.1R","0.04",25,2.5e+10,0,0
"Saturn","Bergelmir","0.000000",3,"2.3","24.2R","0.04",25.2,2.52e+10,0,0
"Saturn","Bestla","0.000000",3.5,"2.3","23.8R","0.04",25.3,2.53e+10,0,0
"Saturn","Farbauti","0.000000",2.5,"2.3","24.7R","0.04",25.6,2.56e+10,0,0
"Saturn","Fenrir","0.000000",2,"2.3","25.0R","0.04",25.8,2.58e+10,0,0
"Saturn","Fornjot","0.000000",3,"2.3","24.6R","0.04",26,2.6e+10,0,0
"Saturn","Hati","0.000000",3,"2.3","24.4R","0.04",26.1,2.61e+10,0,0
"Saturn","Hyrrokkin","0.000000",3,"2.3","23.5R","0.04",26.5,2.65e+10,0,0
"Saturn","Kari","0.000000",3,"2.3","23.9R","0.04",26.6,2.66e+10,0,0
"Saturn","Loge","0.000000",3,"2.3","24.6R","0.04",26.9,2.69e+10,0,0
"Saturn","Skoll","0.000000",3,"2.3","24.5R","0.04",27.2,2.72e+10,0,0
"Saturn","Surtur","0.000000",3,"2.3","24.8R","0.04",27.4,2.74e+10,0,0
"Saturn","Jarnsaxa","0.000000",3,"2.3","24.7R","0.04",27.6,2.76e+10,0,0
"Saturn","Greip","0.000000",3,"2.3","24.4R","0.04",27.8,2.78e+10,0,0
